fixture_id,match,date,league,prediction,confidence,expected_value,recommendation,stake_percentage,risk_level
19354631,Viking vs Fredrikstad,2025-06-22,Eliteserien,A,0.7656517624855042,0.0,SMALL BET,1.0,Low
19354632,Vålerenga vs Molde,2025-06-22,Eliteserien,H,0.4461352825164795,0.0,AVOID,0.0,High
19347783,AIK vs IFK Göteborg,2025-06-28,Allsvenskan,A,0.5058985352516174,0.0,AVOID,0.0,High
19347784,Djurgården vs Norrköping,2025-06-28,Allsvenskan,A,0.45939546823501587,0.0,AVOID,0.0,High
19347785,Hammarby vs Halmstad,2025-06-28,Allsvenskan,A,0.5428647398948669,0.0,AVOID,0.0,High
19347786,Häcken vs GAIS,2025-06-28,Allsvenskan,D,0.5053128600120544,0.0,AVOID,0.0,High
19347787,Öster vs Sirius,2025-06-28,Allsvenskan,A,0.4904906153678894,0.0,AVOID,0.0,High
19347788,Mjällby vs Malmö FF,2025-06-28,Allsvenskan,A,0.4544062614440918,0.0,AVOID,0.0,High
19347789,Degerfors vs Brommapojkarna,2025-06-28,Allsvenskan,D,0.4116723835468292,0.0,AVOID,0.0,High
19347790,Värnamo vs Elfsborg,2025-06-28,Allsvenskan,A,0.7983601689338684,0.0,SMALL BET,1.0,Low
19354633,Bodø / Glimt vs Sarpsborg 08,2025-06-29,Eliteserien,D,0.4876832664012909,0.0,AVOID,0.0,High
19354634,Brann vs Sandefjord,2025-06-29,Eliteserien,A,0.7741698026657104,0.0,SMALL BET,1.0,Low
19354635,Bryne vs HamKam,2025-06-29,Eliteserien,A,0.7248151302337646,0.0,SMALL BET,1.0,Low
19354636,Fredrikstad vs Tromsø,2025-06-29,Eliteserien,A,0.47280627489089966,0.0,AVOID,0.0,High
19354637,Haugesund vs Kristiansund,2025-06-29,Eliteserien,A,0.637473464012146,0.0,SMALL BET,1.0,Low
19354638,Molde vs KFUM,2025-06-29,Eliteserien,A,0.6162176728248596,0.0,SMALL BET,1.0,Low
19354639,Rosenborg vs Viking,2025-06-29,Eliteserien,A,0.5650712251663208,0.0,AVOID,0.0,High
19354640,Strømsgodset vs Vålerenga,2025-06-29,Eliteserien,A,0.438633531332016,0.0,AVOID,0.0,High
19347791,Djurgården vs Degerfors,2025-07-05,Allsvenskan,D,0.5360970497131348,0.0,AVOID,0.0,High
19347792,Hammarby vs Värnamo,2025-07-05,Allsvenskan,A,0.760445773601532,0.0,SMALL BET,1.0,Low
19347793,Elfsborg vs Häcken,2025-07-05,Allsvenskan,D,0.5538451671600342,0.0,AVOID,0.0,High
19347794,GAIS vs Malmö FF,2025-07-05,Allsvenskan,A,0.714510440826416,0.0,SMALL BET,1.0,Low
19347795,IFK Göteborg vs Sirius,2025-07-05,Allsvenskan,A,0.5602452754974365,0.0,AVOID,0.0,High
19347796,Öster vs Mjällby,2025-07-05,Allsvenskan,A,0.6705297827720642,0.0,SMALL BET,1.0,Low
19347797,Norrköping vs Brommapojkarna,2025-07-05,Allsvenskan,A,0.6936069130897522,0.0,SMALL BET,1.0,Low
19347798,Halmstad vs AIK,2025-07-05,Allsvenskan,D,0.502773642539978,0.0,AVOID,0.0,High
19354641,HamKam vs Brann,2025-07-06,Eliteserien,A,0.5079636573791504,0.0,AVOID,0.0,High
19354642,KFUM vs Bryne,2025-07-06,Eliteserien,A,0.598792314529419,0.0,AVOID,0.0,High
19354643,Kristiansund vs Bodø / Glimt,2025-07-06,Eliteserien,A,0.525445818901062,0.0,AVOID,0.0,High
19354644,Sandefjord vs Rosenborg,2025-07-06,Eliteserien,A,0.4535254240036011,0.0,AVOID,0.0,High
19354645,Sarpsborg 08 vs Haugesund,2025-07-06,Eliteserien,A,0.7140563726425171,0.0,SMALL BET,1.0,Low
19354646,Tromsø vs Molde,2025-07-06,Eliteserien,A,0.7348382472991943,0.0,SMALL BET,1.0,Low
19354647,Viking vs Strømsgodset,2025-07-06,Eliteserien,A,0.753974199295044,0.0,SMALL BET,1.0,Low
19354648,Vålerenga vs Fredrikstad,2025-07-06,Eliteserien,A,0.7105724811553955,0.0,SMALL BET,1.0,Low
19347799,AIK vs Degerfors,2025-07-12,Allsvenskan,A,0.7124846577644348,0.0,SMALL BET,1.0,Low
19347800,Brommapojkarna vs Öster,2025-07-12,Allsvenskan,A,0.5865128636360168,0.0,AVOID,0.0,High
19347801,GAIS vs Hammarby,2025-07-12,Allsvenskan,D,0.5162307620048523,0.0,AVOID,0.0,High
19347802,IFK Göteborg vs Elfsborg,2025-07-12,Allsvenskan,A,0.6775026321411133,0.0,SMALL BET,1.0,Low
19347803,Häcken vs Halmstad,2025-07-12,Allsvenskan,A,0.717372477054596,0.0,SMALL BET,1.0,Low
19347804,Malmö FF vs Norrköping,2025-07-12,Allsvenskan,A,0.7913990020751953,0.0,SMALL BET,1.0,Low
19347805,Sirius vs Mjällby,2025-07-12,Allsvenskan,A,0.6775299310684204,0.0,SMALL BET,1.0,Low
19347806,Värnamo vs Djurgården,2025-07-12,Allsvenskan,A,0.46786922216415405,0.0,AVOID,0.0,High
19354649,Bodø / Glimt vs Sandefjord,2025-07-13,Eliteserien,A,0.4479052722454071,0.0,AVOID,0.0,High
19354650,Brann vs Viking,2025-07-13,Eliteserien,D,0.4591923952102661,0.0,AVOID,0.0,High
19354651,Bryne vs Vålerenga,2025-07-13,Eliteserien,A,0.7846425771713257,0.0,SMALL BET,1.0,Low
19354652,Fredrikstad vs Molde,2025-07-13,Eliteserien,A,0.48153889179229736,0.0,AVOID,0.0,High
19354653,Haugesund vs KFUM,2025-07-13,Eliteserien,A,0.6696838140487671,0.0,SMALL BET,1.0,Low
19354654,Kristiansund vs Sarpsborg 08,2025-07-13,Eliteserien,A,0.5800691246986389,0.0,AVOID,0.0,High
19354655,Rosenborg vs HamKam,2025-07-13,Eliteserien,D,0.43262723088264465,0.0,AVOID,0.0,High
19354656,Strømsgodset vs Tromsø,2025-07-13,Eliteserien,A,0.5716155767440796,0.0,AVOID,0.0,High
19354585,Fredrikstad vs Bodø / Glimt,2025-07-16,Eliteserien,A,0.44952523708343506,0.0,AVOID,0.0,High
19347807,Djurgården vs Elfsborg,2025-07-19,Allsvenskan,D,0.6012972593307495,0.0,SMALL BET,1.0,Low
19347808,Hammarby vs Brommapojkarna,2025-07-19,Allsvenskan,A,0.7220900654792786,0.0,SMALL BET,1.0,Low
19347809,Öster vs Malmö FF,2025-07-19,Allsvenskan,A,0.8375378847122192,0.0,SMALL BET,1.0,Low
19347810,Mjällby vs AIK,2025-07-19,Allsvenskan,A,0.5551260113716125,0.0,AVOID,0.0,High
19347811,Norrköping vs Värnamo,2025-07-19,Allsvenskan,A,0.4762609601020813,0.0,AVOID,0.0,High
19347812,Sirius vs IFK Göteborg,2025-07-19,Allsvenskan,A,0.7956008911132812,0.0,SMALL BET,1.0,Low
19347813,Halmstad vs Häcken,2025-07-19,Allsvenskan,D,0.40874552726745605,0.0,AVOID,0.0,High
19347814,Degerfors vs GAIS,2025-07-19,Allsvenskan,A,0.7948251366615295,0.0,SMALL BET,1.0,Low
19354657,HamKam vs Fredrikstad,2025-07-20,Eliteserien,A,0.6843529343605042,0.0,SMALL BET,1.0,Low
19354658,KFUM vs Brann,2025-07-20,Eliteserien,A,0.8317204713821411,0.0,SMALL BET,1.0,Low
19354659,Molde vs Strømsgodset,2025-07-20,Eliteserien,A,0.49470391869544983,0.0,AVOID,0.0,High
19354660,Sandefjord vs Kristiansund,2025-07-20,Eliteserien,A,0.4783150851726532,0.0,AVOID,0.0,High
19354661,Sarpsborg 08 vs Rosenborg,2025-07-20,Eliteserien,A,0.7660726308822632,0.0,SMALL BET,1.0,Low
19354662,Tromsø vs Bryne,2025-07-20,Eliteserien,A,0.49733418226242065,0.0,AVOID,0.0,High
19354663,Viking vs Bodø / Glimt,2025-07-20,Eliteserien,A,0.47406861186027527,0.0,AVOID,0.0,High
19354664,Vålerenga vs Haugesund,2025-07-20,Eliteserien,A,0.6155282258987427,0.0,SMALL BET,1.0,Low
19347815,AIK vs Öster,2025-07-26,Allsvenskan,A,0.5097920298576355,0.0,AVOID,0.0,High
19347816,Brommapojkarna vs Malmö FF,2025-07-26,Allsvenskan,A,0.7189313769340515,0.0,SMALL BET,1.0,Low
19347817,Elfsborg vs IFK Göteborg,2025-07-26,Allsvenskan,A,0.5257214307785034,0.0,AVOID,0.0,High
19347818,GAIS vs Halmstad,2025-07-26,Allsvenskan,A,0.35886821150779724,0.0,AVOID,0.0,High
19347819,Häcken vs Djurgården,2025-07-26,Allsvenskan,A,0.5446997880935669,0.0,AVOID,0.0,High
19347820,Mjällby vs Sirius,2025-07-26,Allsvenskan,A,0.711527943611145,0.0,SMALL BET,1.0,Low
19347821,Degerfors vs Norrköping,2025-07-26,Allsvenskan,A,0.43532609939575195,0.0,AVOID,0.0,High
19347822,Värnamo vs Hammarby,2025-07-26,Allsvenskan,A,0.7619900107383728,0.0,SMALL BET,1.0,Low
19354666,Bodø / Glimt vs Vålerenga,2025-07-27,Eliteserien,A,0.7439427971839905,0.0,SMALL BET,1.0,Low
19354667,Bryne vs Viking,2025-07-27,Eliteserien,A,0.44226497411727905,0.0,AVOID,0.0,High
19354668,Fredrikstad vs Strømsgodset,2025-07-27,Eliteserien,A,0.5448583960533142,0.0,AVOID,0.0,High
19354669,Haugesund vs HamKam,2025-07-27,Eliteserien,D,0.397347092628479,0.0,AVOID,0.0,High
19354670,Kristiansund vs KFUM,2025-07-27,Eliteserien,D,0.49062520265579224,0.0,AVOID,0.0,High
19354671,Rosenborg vs Tromsø,2025-07-27,Eliteserien,A,0.5879274606704712,0.0,AVOID,0.0,High
19354672,Sandefjord vs Sarpsborg 08,2025-07-27,Eliteserien,A,0.6981830596923828,0.0,SMALL BET,1.0,Low
19354593,Bodø / Glimt vs Strømsgodset,2025-07-30,Eliteserien,A,0.7442815899848938,0.0,SMALL BET,1.0,Low
19347823,Djurgården vs Halmstad,2025-08-02,Allsvenskan,D,0.4146984815597534,0.0,AVOID,0.0,High
19347825,Brommapojkarna vs Norrköping,2025-08-02,Allsvenskan,D,0.5462470650672913,0.0,AVOID,0.0,High
19347826,IFK Göteborg vs Degerfors,2025-08-02,Allsvenskan,A,0.4731418490409851,0.0,AVOID,0.0,High
19347827,Häcken vs Elfsborg,2025-08-02,Allsvenskan,A,0.700369656085968,0.0,SMALL BET,1.0,Low
19347829,Sirius vs Öster,2025-08-02,Allsvenskan,A,0.7091220021247864,0.0,SMALL BET,1.0,Low
19347830,Värnamo vs GAIS,2025-08-02,Allsvenskan,A,0.7651589512825012,0.0,SMALL BET,1.0,Low
19354674,HamKam vs Bodø / Glimt,2025-08-03,Eliteserien,A,0.6804598569869995,0.0,SMALL BET,1.0,Low
19354675,KFUM vs Rosenborg,2025-08-03,Eliteserien,A,0.657961368560791,0.0,SMALL BET,1.0,Low
19354676,Molde vs Bryne,2025-08-03,Eliteserien,A,0.6251964569091797,0.0,SMALL BET,1.0,Low
19354677,Sarpsborg 08 vs Brann,2025-08-03,Eliteserien,A,0.6234758496284485,0.0,SMALL BET,1.0,Low
19354678,Strømsgodset vs Haugesund,2025-08-03,Eliteserien,A,0.6348430514335632,0.0,SMALL BET,1.0,Low
19354679,Tromsø vs Fredrikstad,2025-08-03,Eliteserien,A,0.6290516257286072,0.0,SMALL BET,1.0,Low
19354680,Vålerenga vs Sandefjord,2025-08-03,Eliteserien,A,0.7568700909614563,0.0,SMALL BET,1.0,Low
19347831,AIK vs Djurgården,2025-08-09,Allsvenskan,H,0.4090281128883362,0.0,AVOID,0.0,High
19347832,Elfsborg vs Värnamo,2025-08-09,Allsvenskan,A,0.8008335828781128,0.0,SMALL BET,1.0,Low
19347833,GAIS vs IFK Göteborg,2025-08-09,Allsvenskan,A,0.6172441244125366,0.0,SMALL BET,1.0,Low
19347834,Öster vs Brommapojkarna,2025-08-09,Allsvenskan,A,0.7197698950767517,0.0,SMALL BET,1.0,Low
19347835,Malmö FF vs Mjällby,2025-08-09,Allsvenskan,A,0.598699688911438,0.0,AVOID,0.0,High
19347836,Norrköping vs Hammarby,2025-08-09,Allsvenskan,A,0.7565947771072388,0.0,SMALL BET,1.0,Low
19347837,Halmstad vs Sirius,2025-08-09,Allsvenskan,A,0.7307333946228027,0.0,SMALL BET,1.0,Low
19347838,Degerfors vs Häcken,2025-08-09,Allsvenskan,A,0.6537481546401978,0.0,SMALL BET,1.0,Low
19354684,Bodø / Glimt vs Tromsø,2025-08-10,Eliteserien,A,0.7239313125610352,0.0,SMALL BET,1.0,Low
19354685,Bryne vs KFUM,2025-08-10,Eliteserien,A,0.8122813105583191,0.0,SMALL BET,1.0,Low
19354686,Haugesund vs Sarpsborg 08,2025-08-10,Eliteserien,D,0.5541137456893921,0.0,AVOID,0.0,High
19354687,Molde vs HamKam,2025-08-10,Eliteserien,A,0.5568462610244751,0.0,AVOID,0.0,High
19354688,Sandefjord vs Viking,2025-08-10,Eliteserien,A,0.6271377801895142,0.0,SMALL BET,1.0,Low
19347839,Hammarby vs GAIS,2025-08-16,Allsvenskan,A,0.7469812631607056,0.0,SMALL BET,1.0,Low
19347840,Brommapojkarna vs Sirius,2025-08-16,Allsvenskan,A,0.6978232264518738,0.0,SMALL BET,1.0,Low
19347841,IFK Göteborg vs AIK,2025-08-16,Allsvenskan,D,0.6362615823745728,0.0,SMALL BET,1.0,Low
19347842,Häcken vs Öster,2025-08-16,Allsvenskan,A,0.7368826866149902,0.0,SMALL BET,1.0,Low
19347843,Mjällby vs Djurgården,2025-08-16,Allsvenskan,A,0.7061893939971924,0.0,SMALL BET,1.0,Low
19347844,Norrköping vs Elfsborg,2025-08-16,Allsvenskan,A,0.714251697063446,0.0,SMALL BET,1.0,Low
19347845,Halmstad vs Malmö FF,2025-08-16,Allsvenskan,H,0.3844173550605774,0.0,AVOID,0.0,High
19347846,Värnamo vs Degerfors,2025-08-16,Allsvenskan,D,0.5309249758720398,0.0,AVOID,0.0,High
19354691,HamKam vs Bryne,2025-08-17,Eliteserien,D,0.5379838943481445,0.0,AVOID,0.0,High
19354692,KFUM vs Molde,2025-08-17,Eliteserien,A,0.7006363272666931,0.0,SMALL BET,1.0,Low
19354693,Kristiansund vs Sandefjord,2025-08-17,Eliteserien,A,0.7349090576171875,0.0,SMALL BET,1.0,Low
19354694,Strømsgodset vs Bodø / Glimt,2025-08-17,Eliteserien,A,0.7036580443382263,0.0,SMALL BET,1.0,Low
19354695,Tromsø vs Brann,2025-08-17,Eliteserien,D,0.4578719735145569,0.0,AVOID,0.0,High
19354696,Vålerenga vs Sarpsborg 08,2025-08-17,Eliteserien,A,0.6505553722381592,0.0,SMALL BET,1.0,Low
19347847,Djurgården vs Brommapojkarna,2025-08-23,Allsvenskan,A,0.44271090626716614,0.0,AVOID,0.0,High
19347848,Elfsborg vs Halmstad,2025-08-23,Allsvenskan,A,0.8195991516113281,0.0,SMALL BET,1.0,Low
19347849,GAIS vs Mjällby,2025-08-23,Allsvenskan,A,0.755255937576294,0.0,SMALL BET,1.0,Low
19347850,Öster vs Norrköping,2025-08-23,Allsvenskan,A,0.4815153479576111,0.0,AVOID,0.0,High
19347851,Malmö FF vs IFK Göteborg,2025-08-23,Allsvenskan,A,0.8655403256416321,0.0,SMALL BET,1.0,Low
19347852,Sirius vs Hammarby,2025-08-23,Allsvenskan,A,0.4972851276397705,0.0,AVOID,0.0,High
19347853,Degerfors vs AIK,2025-08-23,Allsvenskan,A,0.7302922606468201,0.0,SMALL BET,1.0,Low
19347854,Värnamo vs Häcken,2025-08-23,Allsvenskan,D,0.5312899947166443,0.0,AVOID,0.0,High
19354698,Brann vs Fredrikstad,2025-08-24,Eliteserien,A,0.603060781955719,0.0,SMALL BET,1.0,Low
19354699,Bryne vs Strømsgodset,2025-08-24,Eliteserien,D,0.5078057050704956,0.0,AVOID,0.0,High
19354700,Haugesund vs Vålerenga,2025-08-24,Eliteserien,A,0.6186925172805786,0.0,SMALL BET,1.0,Low
19354701,KFUM vs HamKam,2025-08-24,Eliteserien,H,0.5307922959327698,0.0,AVOID,0.0,High
19354702,Molde vs Tromsø,2025-08-24,Eliteserien,A,0.46595630049705505,0.0,AVOID,0.0,High
19354703,Rosenborg vs Sandefjord,2025-08-24,Eliteserien,A,0.48981040716171265,0.0,AVOID,0.0,High
19354704,Sarpsborg 08 vs Kristiansund,2025-08-24,Eliteserien,A,0.571833610534668,0.0,AVOID,0.0,High
19347855,AIK vs Sirius,2025-08-30,Allsvenskan,A,0.4753572940826416,0.0,AVOID,0.0,High
19347856,Hammarby vs Öster,2025-08-30,Allsvenskan,A,0.6181173324584961,0.0,SMALL BET,1.0,Low
19347857,Brommapojkarna vs Elfsborg,2025-08-30,Allsvenskan,H,0.7266548871994019,0.0,SMALL BET,1.0,Low
19347858,GAIS vs Häcken,2025-08-30,Allsvenskan,A,0.602595329284668,0.0,SMALL BET,1.0,Low
19347859,IFK Göteborg vs Värnamo,2025-08-30,Allsvenskan,H,0.441581130027771,0.0,AVOID,0.0,High
19347860,Malmö FF vs Degerfors,2025-08-30,Allsvenskan,A,0.6518971920013428,0.0,SMALL BET,1.0,Low
19347861,Mjällby vs Halmstad,2025-08-30,Allsvenskan,D,0.5523010492324829,0.0,AVOID,0.0,High
19347862,Norrköping vs Djurgården,2025-08-30,Allsvenskan,A,0.7272990942001343,0.0,SMALL BET,1.0,Low
19354705,Fredrikstad vs Haugesund,2025-08-31,Eliteserien,A,0.6736741065979004,0.0,SMALL BET,1.0,Low
19354706,HamKam vs Sarpsborg 08,2025-08-31,Eliteserien,H,0.43684151768684387,0.0,AVOID,0.0,High
19354707,Kristiansund vs Brann,2025-08-31,Eliteserien,A,0.7545851469039917,0.0,SMALL BET,1.0,Low
19354708,Sandefjord vs Bodø / Glimt,2025-08-31,Eliteserien,A,0.7348039150238037,0.0,SMALL BET,1.0,Low
19354709,Strømsgodset vs Molde,2025-08-31,Eliteserien,A,0.6438897848129272,0.0,SMALL BET,1.0,Low
19354710,Tromsø vs KFUM,2025-08-31,Eliteserien,A,0.6097108125686646,0.0,SMALL BET,1.0,Low
